3 129
1 0 0
1 0 1
1 0 2
1 0 3
1 0 4
1 0 5
1 0 6
1 0 7
1 0 8
1 0 9
1 0 10
1 0 11
1 0 12
1 1 0
20 1 1
7 1 2
13 1 3
1 1 4
21 1 6
1 1 8
1 1 9
1 1 10
1 1 11
1 1 12
1 2 0
7 2 1
13 2 2
1 2 4
1 2 8
8 2 10
1 2 12
1 3 0
13 3 1
10 3 2
1 3 4
1 3 5
3 3 6
1 3 7
1 3 8
1 3 10
1 3 12
1 4 0
1 4 1
3 4 2
1 4 3
1 4 4
1 4 5
10 4 7
1 4 8
13 4 9
1 4 10
7 4 11
1 4 12
1 5 0
1 5 4
1 5 5
1 5 6
1 5 8
13 5 9
1 5 10
8 5 11
1 5 12
1 6 0
6 6 1
1 6 2
8 6 4
7 6 5
8 6 6
1 6 8
13 6 9
1 6 10
7 6 11
1 6 12
1 7 0
6 7 1
1 7 2
1 7 3
1 7 4
1 7 5
1 7 6
1 7 10
1 7 12
1 8 0
1 8 6
1 8 7
3 8 8
1 8 9
1 8 10
1 8 12
1 9 0
1 9 1
1 9 2
1 9 3
1 9 4
8 9 5
1 9 6
7 9 7
7 9 9
1 9 10
1 9 12
1 10 0
1 10 1
1 10 6
17 10 7
8 10 8
13 10 9
1 10 10
1 10 12
1 11 0
19 11 1
1 11 3
1 11 4
1 11 5
1 11 6
1 11 10
1 11 12
1 12 0
1 12 1
1 12 2
1 12 3
1 12 4
1 12 5
1 12 6
1 12 7
1 12 8
1 12 9
1 12 10
1 12 11
1 12 12
